                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77021,                  0.691,                  1.091,                0.86063,                0.70143,                 0.7882,                0.63056,                0.77783,                0.68961,                 1.0715,             9.8141e-05,             9.8141e-05,             9.8141e-05
                     36,                0.77255,                0.68457,                 1.0893,                0.84185,                0.71664,                 0.7906,                0.63256,                0.78052,                0.69458,                 1.0633,             9.7556e-05,             9.7556e-05,             9.7556e-05
                     37,                 0.7758,                 0.6741,                 1.0848,                0.86779,                0.72583,                0.79957,                0.64278,                0.77418,                 0.6736,                 1.0576,             9.6972e-05,             9.6972e-05,             9.6972e-05
                     38,                0.77029,                0.66047,                 1.0868,                0.85573,                0.72776,                0.79772,                0.64138,                0.76373,                 0.6769,                 1.0532,             9.6388e-05,             9.6388e-05,             9.6388e-05
                     39,                0.76254,                0.64611,                 1.0777,                 0.8682,                0.72309,                0.80257,                0.64975,                 0.7516,                0.65637,                 1.0441,             9.5804e-05,             9.5804e-05,             9.5804e-05
                     40,                 0.7478,                0.65054,                 1.0739,                0.88822,                0.71495,                0.79851,                0.65012,                0.74834,                0.66583,                 1.0361,              9.522e-05,              9.522e-05,              9.522e-05
                     41,                0.75524,                0.65074,                 1.0749,                0.87072,                0.72447,                0.80822,                0.65485,                0.74754,                0.65524,                 1.0432,             9.4636e-05,             9.4636e-05,             9.4636e-05
                     42,                0.73846,                 0.6304,                 1.0632,                0.85351,                0.74681,                0.81325,                0.66345,                0.73465,                0.63527,                 1.0407,             9.4052e-05,             9.4052e-05,             9.4052e-05
                     43,                0.74232,                0.62768,                 1.0648,                0.86413,                0.74386,                0.81212,                0.65813,                0.73719,                0.64275,                 1.0346,             9.3468e-05,             9.3468e-05,             9.3468e-05
                     44,                 0.7423,                0.61786,                 1.0615,                0.89283,                0.72889,                0.81417,                0.66499,                0.73667,                0.63781,                 1.0331,             9.2884e-05,             9.2884e-05,             9.2884e-05
                     45,                0.73173,                0.62677,                 1.0637,                0.87667,                0.75241,                 0.8167,                0.66604,                0.73206,                0.63986,                  1.029,               9.23e-05,               9.23e-05,               9.23e-05
                     46,                0.73431,                0.61088,                 1.0563,                 0.8797,                0.74549,                0.82065,                0.67734,                0.71046,                0.63299,                 1.0242,             9.1715e-05,             9.1715e-05,             9.1715e-05
                     47,                0.72151,                0.60154,                 1.0643,                0.87625,                0.74662,                0.82064,                0.67405,                0.71487,                0.61903,                 1.0328,             9.1131e-05,             9.1131e-05,             9.1131e-05
                     48,                0.72252,                0.60931,                 1.0554,                0.87018,                0.74862,                0.82159,                0.67188,                0.72285,                0.62591,                  1.027,             9.0547e-05,             9.0547e-05,             9.0547e-05
                     49,                0.71491,                0.59623,                 1.0502,                 0.8964,                 0.7389,                0.82445,                0.68442,                0.70736,                0.61627,                 1.0159,             8.9963e-05,             8.9963e-05,             8.9963e-05
                     50,                0.71007,                0.58457,                 1.0454,                0.89458,                0.74661,                  0.825,                0.68296,                0.69971,                0.62239,                 1.0242,             8.9379e-05,             8.9379e-05,             8.9379e-05
                     51,                0.69937,                0.57701,                  1.041,                0.88168,                0.74946,                0.82691,                0.68561,                0.70131,                 0.6107,                 1.0193,             8.8795e-05,             8.8795e-05,             8.8795e-05
                     52,                0.69583,                0.57085,                 1.0393,                0.90953,                 0.7372,                0.82192,                0.68059,                0.70057,                0.61093,                 1.0181,             8.8211e-05,             8.8211e-05,             8.8211e-05
                     53,                 0.6968,                0.57446,                 1.0434,                0.87409,                0.76033,                0.82743,                0.68246,                0.70259,                  0.621,                 1.0189,             8.7627e-05,             8.7627e-05,             8.7627e-05
                     54,                0.68997,                 0.5687,                 1.0353,                0.88807,                0.76176,                0.82887,                0.68621,                0.69515,                0.60502,                 1.0133,             8.7043e-05,             8.7043e-05,             8.7043e-05
                     55,                0.68964,                0.55575,                 1.0356,                0.90795,                0.74539,                0.83048,                0.69091,                 0.6847,                0.60773,                 1.0057,             8.6459e-05,             8.6459e-05,             8.6459e-05
                     56,                0.68739,                0.55706,                 1.0313,                0.90293,                 0.7589,                0.83788,                0.69636,                0.68495,                0.59772,                 1.0051,             8.5874e-05,             8.5874e-05,             8.5874e-05
                     57,                0.67856,                0.55359,                 1.0258,                0.90064,                0.76098,                0.83604,                0.69936,                0.67905,                0.58068,                 1.0017,              8.529e-05,              8.529e-05,              8.529e-05
                     58,                0.67566,                0.54531,                 1.0271,                0.89844,                0.76307,                0.83449,                0.69598,                0.67745,                 0.6002,                 1.0056,             8.4706e-05,             8.4706e-05,             8.4706e-05
                     59,                0.67153,                0.53982,                 1.0242,                 0.9088,                0.74304,                0.83055,                0.69478,                0.67324,                0.58032,                0.99923,             8.4122e-05,             8.4122e-05,             8.4122e-05
                     60,                0.66864,                0.54143,                 1.0293,                0.89867,                0.75895,                0.83493,                0.69763,                0.67476,                0.57967,                  1.004,             8.3538e-05,             8.3538e-05,             8.3538e-05
                     61,                 0.6646,                0.53064,                 1.0204,                 0.8976,                0.76495,                0.83517,                0.70156,                0.66097,                 0.5756,                0.98725,             8.2954e-05,             8.2954e-05,             8.2954e-05
                     62,                0.66132,                 0.5259,                 1.0163,                0.91162,                0.75692,                0.83681,                0.70631,                0.65694,                0.56871,                0.98956,              8.237e-05,              8.237e-05,              8.237e-05
                     63,                0.66639,                0.52904,                 1.0181,                0.90324,                0.76948,                0.83979,                0.70906,                0.65825,                0.56767,                0.99454,             8.1786e-05,             8.1786e-05,             8.1786e-05
                     64,                0.65656,                0.51635,                  1.014,                0.90661,                0.75545,                0.83631,                0.70236,                0.66209,                0.57457,                0.99273,             8.1202e-05,             8.1202e-05,             8.1202e-05
                     65,                0.65259,                0.52232,                 1.0171,                0.90271,                0.76539,                0.83608,                0.70567,                0.66049,                0.58298,                0.99338,             8.0618e-05,             8.0618e-05,             8.0618e-05
                     66,                0.65211,                0.51142,                 1.0037,                0.90884,                0.76329,                0.83594,                0.70605,                0.65059,                 0.5676,                0.98187,             8.0034e-05,             8.0034e-05,             8.0034e-05
                     67,                 0.6419,                0.50631,                 1.0062,                0.91225,                0.76344,                0.84042,                0.71121,                0.64819,                0.56225,                0.98568,             7.9449e-05,             7.9449e-05,             7.9449e-05
                     68,                0.63871,                 0.5082,                 1.0063,                0.90771,                0.76417,                0.83746,                 0.7061,                0.65721,                0.57307,                0.99385,             7.8865e-05,             7.8865e-05,             7.8865e-05
                     69,                0.63368,                0.49729,                 1.0053,                0.91052,                0.75748,                0.83595,                0.71064,                0.64793,                0.57685,                0.99251,             7.8281e-05,             7.8281e-05,             7.8281e-05
                     70,                0.63343,                0.50395,                 1.0051,                0.90935,                0.77364,                0.83709,                0.71217,                0.64063,                0.56573,                0.98461,             7.7697e-05,             7.7697e-05,             7.7697e-05
                     71,                0.62773,                0.49719,                  1.007,                 0.9112,                 0.7704,                0.83973,                0.71525,                0.63953,                0.57124,                0.98364,             7.7113e-05,             7.7113e-05,             7.7113e-05
