                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3639,                 1.8859,                 1.4079,                0.51484,                0.35546,                0.36801,                0.24597,                 1.2846,                 1.6123,                 1.3436,              0.0091585,              0.0091585,              0.0091585
                     36,                 1.3598,                   1.88,                 1.4046,                0.52975,                0.35691,                0.37082,                0.24805,                 1.2812,                 1.6025,                 1.3393,              0.0091337,              0.0091337,              0.0091337
                     37,                 1.3592,                 1.8776,                 1.4025,                0.52998,                 0.3602,                0.37363,                0.25013,                 1.2782,                 1.5933,                 1.3352,               0.009109,               0.009109,               0.009109
                     38,                 1.3574,                 1.8727,                 1.3997,                0.53656,                0.36108,                0.37706,                 0.2525,                 1.2753,                 1.5835,                 1.3312,              0.0090843,              0.0090843,              0.0090843
                     39,                 1.3547,                 1.8644,                 1.3968,                0.53856,                0.36369,                0.37988,                0.25441,                 1.2722,                 1.5743,                  1.327,              0.0090595,              0.0090595,              0.0090595
                     40,                 1.3551,                 1.8646,                 1.3969,                0.54123,                0.36572,                0.38229,                0.25661,                 1.2696,                 1.5655,                 1.3235,              0.0090347,              0.0090347,              0.0090347
                     41,                 1.3525,                 1.8557,                 1.3946,                0.54247,                0.36784,                0.38496,                 0.2584,                 1.2669,                 1.5568,                   1.32,                0.00901,                0.00901,                0.00901
                     42,                 1.3497,                 1.8518,                 1.3933,                0.54614,                0.36906,                0.38728,                0.26015,                 1.2644,                 1.5489,                  1.317,              0.0089853,              0.0089853,              0.0089853
                     43,                 1.3518,                 1.8507,                  1.392,                0.54608,                0.37173,                0.38911,                0.26176,                 1.2618,                 1.5412,                 1.3138,              0.0089605,              0.0089605,              0.0089605
                     44,                 1.3496,                 1.8482,                 1.3905,                0.54631,                 0.3731,                0.39178,                0.26361,                 1.2595,                 1.5339,                 1.3108,              0.0089358,              0.0089358,              0.0089358
                     45,                 1.3472,                 1.8437,                  1.386,                0.54508,                0.37484,                0.39382,                 0.2652,                 1.2573,                 1.5261,                 1.3077,               0.008911,               0.008911,               0.008911
                     46,                 1.3476,                   1.84,                 1.3862,                0.55148,                0.37356,                0.39512,                0.26667,                 1.2551,                 1.5189,                 1.3048,              0.0088863,              0.0088863,              0.0088863
                     47,                 1.3458,                 1.8379,                  1.386,                0.54717,                0.37741,                0.39702,                0.26841,                  1.253,                 1.5118,                 1.3022,              0.0088615,              0.0088615,              0.0088615
                     48,                 1.3429,                 1.8319,                 1.3837,                0.54661,                 0.3793,                0.39893,                 0.2697,                 1.2511,                 1.5054,                 1.2998,              0.0088368,              0.0088368,              0.0088368
                     49,                 1.3451,                 1.8311,                 1.3823,                0.55025,                0.38045,                0.40159,                0.27149,                 1.2494,                 1.4989,                 1.2974,               0.008812,               0.008812,               0.008812
                     50,                 1.3438,                 1.8268,                 1.3813,                 0.5548,                0.38079,                0.40387,                0.27286,                 1.2479,                  1.493,                 1.2954,              0.0087872,              0.0087872,              0.0087872
                     51,                 1.3415,                  1.821,                  1.379,                0.55002,                0.38397,                0.40519,                0.27397,                 1.2464,                 1.4871,                 1.2932,              0.0087625,              0.0087625,              0.0087625
                     52,                 1.3388,                 1.8169,                 1.3774,                0.55245,                0.38471,                0.40628,                0.27508,                 1.2448,                 1.4821,                 1.2912,              0.0087378,              0.0087378,              0.0087378
                     53,                 1.3393,                  1.817,                 1.3763,                0.55559,                0.38435,                 0.4077,                0.27602,                 1.2433,                 1.4774,                 1.2894,               0.008713,               0.008713,               0.008713
