                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2296,                 8.2766,                 2.5455,                0.38245,                0.19939,                0.18595,                0.13615,                  2.154,                  5.782,                 2.4278,             3.9182e-05,             3.9182e-05,             3.9182e-05
                      2,                 2.2793,                 4.7762,                 2.5718,                  0.458,                0.30206,                0.27897,                 0.1969,                 2.2571,                 4.6227,                 2.5162,             7.5406e-05,             7.5406e-05,             7.5406e-05
                      3,                 2.2982,                 4.1783,                 2.5953,                0.50347,                0.32605,                0.33192,                0.22917,                 2.3421,                 4.1975,                 2.5919,             0.00010852,             0.00010852,             0.00010852
